File,RE_original,Cost_original,REs_original,Time_original,RE_new,Cost_new,REs_new,Time_new,Cost_ratio,REs_ratio
type2_exp1,(0(0+1))?1(0(1+00)?)?,18.0,5562109.0,0.402015,(0(0+1))?1(0(1+00)?)?,18.0,441363.0,0.345382,1.0,0.07935173510623399
type2_exp2,(1?0)*(1+(0+11)0),15.0,562291.0,0.312765,((0+1)?0)?(1+0(11)?0),18.0,377703.0,0.280049,1.2,0.6717215818855361
type2_exp3,(00?1)?(0+1)1?,14.0,386246.0,0.307887,0?(01)?(0+1)1?,14.0,345997.0,0.463246,1.0,0.8957943901037163
type2_exp4,(1?(0+1)(0(1+00))?)?,16.0,711298.0,0.317222,(1(000)?)?(1+0(0(1+00))?)?,23.0,328004.0,0.254789,1.4375,0.46113443310679914
type2_exp5,(0+1)?(00+(01+10)(0+1)),20.0,9928613.0,0.374891,01?(0+(0+1)(0+1))+11?0(0+1),25.0,341632.0,0.250224,1.25,0.03440883434574396
type2_exp6,1((0+1)1)?+0(1?01?)?,19.0,12761000.0,0.341872,01?0+1(0+1)1+0+(00)?1,23.0,411115.0,0.301233,1.2105263157894737,0.03221651908157668
type2_exp7,((1+00)(0+1))?(0+1)0?,17.0,2227475.0,0.354688,(10+00(0+1))?(0+(1(0+1))?1)0?,26.0,453830.0,0.35749,1.5294117647058822,0.20374190507188633
type2_exp8,((0+0*1)(0+1))?(0+1)1?,18.0,13783429.0,0.354026,(1+(0+11)(11)?)(1(01+10))?(0(011)?10?)?((01+110)10?)?,54.0,806495.0,1.5219,3.0,0.05851192761975268
type2_exp9,(1(0*+((0+1)0)*1?))?,15.0,893262.0,0.318142,(1(0?(0+1)0)*)?(1+0100)?,23.0,832113.0,1.362209,1.5333333333333334,0.9315441606158104
type2_exp10,01+(00+11?)(0+(0+1)1)?,21.0,49293959.0,0.406328,(0+11)0(11)?+1*(1+0(1+00)),25.0,465656.0,0.371889,1.1904761904761905,0.009446512502678066
type2_exp11,(1+(1+0(0+1))(0+1))?,14.0,228309.0,0.320271,(1+(1+0(0+1))(0+1))?,14.0,223490.0,0.214607,1.0,0.9788926411135785
type2_exp12,(0+1(0?1)?)(1(0+1)0?)*,19.0,60492037.0,0.458877,(0+1(1+0(0+1))?)(11?0)?(1(0+1)01(0+1))?,35.0,920632.0,2.202748,1.8421052631578947,0.015219060981530511
type2_exp13,((0+0*1)(1+00)0*)*,16.0,1476835.0,0.30302,(0(0+1)(0+(0+1)1))?((0+1)?1(0+1)0)?,28.0,594483.0,0.559905,1.75,0.40253853680336665
type2_exp14,0*+(0+11)1(1+0(0+1)),18.0,16719101.0,0.377757,(0+(0+11)(0+11))?(0(0+10(0+1)))*,27.0,737974.0,0.834686,1.5,0.0441395742510318
type2_exp15,1+(1(0+1)1+(0+(0+1)1)0)(0+1)?,24.0,282296761.0,0.540999,(1+01?0(0+1)?)(01+1(0+11?))?,27.0,478725.0,0.376003,1.125,0.0016958217951356517
type2_exp16,((01*+1(0+10?1))0?)?,19.0,22663813.0,0.363497,(0+(0+(0+1)1)1)?(0+1(0+1*)01?)?,27.0,740226.0,1.160953,1.4210526315789473,0.03266114135339892
type2_exp17,1+(00)?1?0(0+1)?,16.0,2470563.0,0.333371,(00(0+1))?(01+(0+1)0*),19.0,587765.0,0.546571,1.1875,0.2379073110056291
type2_exp18,(0+((0+11)1)?1)((0+(0+1)1)01*)?,26.0,2175028441.0,1.763228,(0+(01+100)?1)(01?0+11(0+1))?,30.0,584940.0,0.583749,1.1538461538461537,0.00026893441436152694
type2_exp19,0+((0+10*)10?)*,14.0,1053428.0,0.291489,0+((0+10*)10?)*,14.0,982521.0,3.705557,1.0,0.9326892772928003
type2_exp20,(0+10?1)(0+1)*01*,18.0,37775771.0,0.430079,(0(0+1)(111)?(00+101?)+((0+1)?10)?(11+00010))(0110)?(0+1(1+00)1)?,69.0,3968375.0,359.933412,3.8333333333333335,0.10505080094857627
type2_exp21,1?(01+((1+00)(10)?)*),18.0,7253623.0,0.331892,(1((0+1)(0+11))?)?(1+0(1+0(10?)?))?,28.0,597112.0,0.597828,1.5555555555555556,0.08231913900129632
type2_exp22,1?(0+1)((0+1)00)?,15.0,605661.0,0.307859,(1+(0+1)00)?(010)?(0+1),21.0,493448.0,0.472247,1.4,0.8147263898451444
type2_exp23,(0+(1?(0+1)01?)*)01*,19.0,88408077.0,0.531395,not_found,17.0,9254940.0,199.877427,0.8947368421052632,0.10468432652369535
type2_exp24,((1+1?01*)0)*1*,15.0,2392722.0,0.328163,not_found,17.0,9394726.0,82.760172,1.1333333333333333,3.926375901588233
type2_exp25,((1+0(0+1))0)*(0+11)1*,19.0,76104360.0,0.485677,((01)?0000)?(101010)?(10111)?(0101110)?(110100)?(0+1(1+(1?0)*)1)?(11010)?(10100)?(0100)?(11(10)?)?(0101(0+1))?(10(0+101)1?)?(0(1+000?)1)?,164.0,5152971.0,77.854298,8.631578947368421,0.06770927447520747
type2_exp26,0?1(1+0*)(0+1*),14.0,714005.0,0.310451,0?1(0*+10)1*,14.0,620678.0,1.695694,1.0,0.8692908312966996
