File,RE,Cost,REs,Time (s)
type1_exp1,(1+01?0)(0+0?1(1+0*)),20,62564804,0.485993
type1_exp2,((10)*+(0*1)*(00+11))(01)?,23,439932416,0.747037
type1_exp3,((0+(1(0+1))*)01*(0+1))?,18,12273234,0.346517
type1_exp4,(0+1)(0*+1?0?1?),15,1064896,0.302615
type1_exp5,1?(1+0*(0+1)0(0+1)),17,3811636,0.353336
type1_exp6,((1+(0+1*)0)(0+(10?1)*))?,19,25148079,0.382312
type1_exp7,((0+(1+1?0)1)0)?(01*)?,19,34352974,0.379956
type1_exp8,((1*0)*1(10?)?)?,14,416629,0.310724
type1_exp9,((1+0*)(1+0(10*+01*)))?,19,45033641,0.392749
type1_exp10,(((0+11)(0+1)0?)*1)?0*,19,28199261,0.355091
type1_exp11,((1(0+1))?(1+00?)01*)?,19,23129018,0.36026
type1_exp12,(0?(0+1)0)?(0+1(0+1))1?1?,23,402717441,0.693676
type1_exp13,(00+(0+1)?1(0+1))(0+0*1),21,147935885,0.533013
type1_exp14,((1+0*)1)?0?(0+11),16,2430926,0.356283
type1_exp15,((11)?0)*+1?(011?)*,18,19417486,0.404749
type1_exp16,(10+(0+(0+1)(1+0(0+1)))1)0*,22,287324409,0.66488
type1_exp17,(01)?(11+(0+11)1*01*),22,168149592,0.525174
type1_exp18,(011+1*0(00+10*))?,20,32767858,0.40098
type1_exp19,(0+1)((0+0*1)0)?1*,16,4319716,0.382668
type1_exp20,((0+11)((11+(0+1)?0)1)?)?(100)?0?,30,35314691,56.270014
type1_exp21,((10?)*0)?(010?1)?,18,19417625,0.35047
type1_exp22,((00+(0+1)(10+(0+1)1))(0+1))?,22,201021086,0.515436
type1_exp23,(0+10?1*)((0+1(0+1))0)*,20,71281377,0.410875
type1_exp24,(1(00)?1)?(0(101?)*)*,20,121948553,0.452052
type1_exp25,0?(10*1+0010)(10?)?,23,334399370,0.63864
type1_exp26,(0+(1+00)*)(0+(1+00)(0+1)10*),25,1921026403,1.84933
type1_exp27,(0+1)0*10?1*(01?0)?,22,1046798294,1.364177
type1_exp28,((10?)*0+(11+00*)1)1?,21,117977982,0.465509
type1_exp29,(1?(0+1)1)*(0+10?1)0?,21,117642640,0.458302
type1_exp30,(01+1*(0+11))(1+0(1+00)?),23,929733887,1.144156
type1_exp31,not_found,22,1880131974,1.715653
type1_exp32,((0+1)1)*(11+(0+1)0)(0?1)*,22,227994072,0.557428
type1_exp33,(10)?(00+(0+1)?(11+010)0?),26,1262559283,5.100209
type1_exp34,(0+1)1?(00)*(1(0+(0+1)11))?,24,2884258819,2.2829
type1_exp35,0?(1(00*(0+11))?)*,17,5705056,0.318016
type1_exp36,(1(1+0*)0+0(11+01*))?,20,47449324,0.374833
type1_exp37,(011?+(1+00)(0+1*)0)*,20,57847620,0.419739
type1_exp38,(1?00)*+(1(0+1))*0(11)*,21,524477145,0.996627
type1_exp39,(1*0)?((0+1)(0+1(0+1)1))?,20,83758937,0.429896
type1_exp40,(00)*+(0+1(0+1))(1+0(0+1))1*,23,1033132768,1.248877
type1_exp41,not_found,23,4144324415,2.508145
type1_exp42,(0?1?(1+00))?(01*)?,18,34599288,0.369381
type1_exp43,(0+1)(1+((0+1)1+0*10)*),19,62924208,0.415158
type1_exp44,(10*)?((0+1)?010?)*,18,13052070,0.361267
type1_exp45,0?1*0(01?)?(1(0+1))?,20,306863181,0.932966
type1_exp46,((10(0+1))?(0+(1+00)1))*,19,52966224,0.42223
type1_exp47,(01)?(0+(00+(0+1)(00+11))1?),25,2813113952,2.810812
type1_exp48,1(1?0)*+00?(1*+10*),20,95379987,0.43698
type1_exp49,0+110*+(1?0)?(0+1)(0+1(0+1)1),28,1547028456,13.798806
type1_exp50,10?+0?(00+10*10?(0+1))1?,28,903688034,20.478217
type1_exp51,0*(10?(0+1))?(1+(0+1)1?(0+1)0),27,1933458018,9.319519
type1_exp52,0*+(1+0(0+1)1(0+1)*)*,18,39582233,0.376145
type1_exp53,(0(0+10?1))*(1(1+0(01)?))*,23,968159823,1.171821
type1_exp54,0*11?(1+((0+111)(0+1))*),22,1286342774,1.558275
type1_exp55,not_found,23,3171320616,2.098565
type1_exp56,(1+00)(1(0+1))?0?(011?)?,23,1488339486,1.7407
type1_exp57,(10+(10?1)?(0+(0+1)1))(01)?0?,27,2157786341,9.592466
type1_exp58,(0((0+1)1)?)?(0+1(0*1)*),19,54387065,0.377864
type1_exp59,((0*1)?(0+10*)0)?((0+1)1)?,22,341348178,0.65633
type1_exp60,(0*1)?0(00+(0+1)1?1)?,21,326821966,0.745517
type1_exp61,1?001*+0*(0+1(0+1)1?(0+1)),27,1925485962,16.261286
type1_exp62,(1+(0+(11+1*0)1)0*)((0+1)1)*,24,3425293364,2.591014
type1_exp63,not_found,21,1286324346,1.501036
type1_exp64,((0+11*)(0+1(1+(0+1)01?)))*,22,790718588,1.449218
type1_exp65,not_found,21,1337679227,1.50315
type1_exp66,not_found,23,3679451846,2.383702
type1_exp67,(0+1)(10+(01?)*)(0+1),17,11311989,0.334749
type1_exp68,(0+(1+0*)(0+1)0(0+1))?1?,20,119320941,0.531151
type1_exp69,(0+(0*1?1)?1)(010+(0+1)01)?,27,2982960086,9.537783
type1_exp70,not_found,23,4162015120,2.480608
type1_exp71,(0+1)((0+(0+1)(0+1))0)*1*,19,137908236,0.633161
type1_exp72,1?(1*+(001*)*+(011?)*),21,341301510,0.796416
type1_exp73,not_found,23,2942967026,2.293823
type1_exp74,(1+0*((01+10)1+1*(1+00)0))?,26,4086697239,6.668895
type1_exp75,(0*1(1+001?))?(0(001?)*)?,25,4274527322,4.122473
type1_exp76,(01*0)*1*+1(((0+1)1)?0)*,22,1048585403,1.420642
type1_exp77,(01+(1+00)1?0(1+0*))*,20,242957992,0.777003
type1_exp78,not_found,22,2080368670,1.70047
type1_exp79,not_found,22,1855075363,1.69463
type1_exp80,(0+1(11+(1+01*)0))0?1*,22,464393482,0.836543
type1_exp81,(0+1)(1+((0+1)0?10*)*),18,43550330,0.407216
type1_exp82,not_found,22,1898835892,1.746338
type1_exp83,not_found,21,1121326515,1.418867
type1_exp84,((1*0)*(0+1)1)?(0*+11),19,120964287,0.543613
type1_exp85,((0+1)1)*(1+(10)*+00(01?)*),23,2285851022,1.935978
type1_exp86,1*+0?10*(0+1(0+101)),22,794728012,1.20425
type1_exp87,0*(1((0+10*1)0)?)*,17,16271352,0.351773
type1_exp88,not_found,23,3312530028,2.192211
type1_exp89,(1*0(01*)?)*01*,16,7766385,0.322944
type1_exp90,((1*0)?10*)?((0*1)?1)?,20,230885078,0.63612
type1_exp91,(0+((11+1*0)0)*)(1(10*)?)?,22,996659785,1.48363
type1_exp92,(0+1)(0*+1(0+1)0)(0+1*),19,96694329,0.493594
type1_exp93,((0+1)(0+1))*0+((01*0)*1)*,21,1666773934,2.271553
type1_exp94,(0+1*)(0*+(0(0+1)0?1)*),19,121347925,0.546158
type1_exp95,(1(0+1))?(01*+(0*1)*0),19,100261566,0.515324
type1_exp96,not_found,25,1154855349,5.493242
type1_exp97,1+(11?(0+1))?(01*+0*(0+11)),25,3525125308,5.352355
type1_exp98,(11+0(1+(0+1)0)*)0*,17,13231196,0.336898
type1_exp99,not_found,21,1142788307,1.447449
type1_exp100,0?10*(11+1*0),16,5309239,0.327404
type1_exp101,((0+1*)10*1)?(1+0*),17,23236533,0.4149
type1_exp102,(0*+(1(0+1))*)(1+(0+1)0),17,13774316,0.340469
type1_exp103,0?((0+1)(1+(01+(0+1)0)0))*,21,302597456,0.757529
type1_exp104,not_found,22,1649404895,1.671585
type1_exp105,1*0?(11+001*)(10)*,21,609180742,1.137707
type1_exp106,not_found,22,2015474439,1.716974
type1_exp107,not_found,22,2230343055,1.759653
type1_exp108,not_found,21,1349372012,1.491286
type1_exp109,not_found,20,771283096,1.529161
type1_exp110,1?(0(10*)*0+((0+1)0)*1*),22,1035471141,1.341489
type1_exp111,not_found,22,2346631735,2.067379
type1_exp112,0*1*(0(1?01?1)*)?,19,149276196,0.670575
type1_exp113,(1+(0+1)00)*+(01)*(1+0*)0,22,2054308789,1.730106
type1_exp114,(1*(1?(0+1)0)*0)?1?1?,21,669866612,1.195507
type1_exp115,not_found,23,3723889258,2.349239
type1_exp116,not_found,21,1277667462,1.510914
