File,RE,Cost,REs,Time (s)
type2_exp1,(0(0+1))?1(0(1+00)?)?,18,441363,0.345382
type2_exp2,((0+1)?0)?(1+0(11)?0),18,377703,0.280049
type2_exp3,0?(01)?(0+1)1?,14,345997,0.463246
type2_exp4,(1(000)?)?(1+0(0(1+00))?)?,23,328004,0.254789
type2_exp5,01?(0+(0+1)(0+1))+11?0(0+1),25,341632,0.250224
type2_exp6,01?0+1(0+1)1+0+(00)?1,23,411115,0.301233
type2_exp7,(10+00(0+1))?(0+(1(0+1))?1)0?,26,453830,0.35749
type2_exp8,(1+(0+11)(11)?)(1(01+10))?(0(011)?10?)?((01+110)10?)?,54,806495,1.5219
type2_exp9,(1(0?(0+1)0)*)?(1+0100)?,23,832113,1.362209
type2_exp10,(0+11)0(11)?+1*(1+0(1+00)),25,465656,0.371889
type2_exp11,(1+(1+0(0+1))(0+1))?,14,223490,0.214607
type2_exp12,(0+1(1+0(0+1))?)(11?0)?(1(0+1)01(0+1))?,35,920632,2.202748
type2_exp13,(0(0+1)(0+(0+1)1))?((0+1)?1(0+1)0)?,28,594483,0.559905
type2_exp14,(0+(0+11)(0+11))?(0(0+10(0+1)))*,27,737974,0.834686
type2_exp15,(1+01?0(0+1)?)(01+1(0+11?))?,27,478725,0.376003
type2_exp16,(0+(0+(0+1)1)1)?(0+1(0+1*)01?)?,27,740226,1.160953
type2_exp17,(00(0+1))?(01+(0+1)0*),19,587765,0.546571
type2_exp18,(0+(01+100)?1)(01?0+11(0+1))?,30,584940,0.583749
type2_exp19,0+((0+10*)10?)*,14,982521,3.705557
type2_exp20,(0(0+1)(111)?(00+101?)+((0+1)?10)?(11+00010))(0110)?(0+1(1+00)1)?,69,3968375,359.933412
type2_exp21,(1((0+1)(0+11))?)?(1+0(1+0(10?)?))?,28,597112,0.597828
type2_exp22,(1+(0+1)00)?(010)?(0+1),21,493448,0.472247
type2_exp23,not_found,17,9254940,199.877427
type2_exp24,not_found,17,9394726,82.760172
type2_exp25,((01)?0000)?(101010)?(10111)?(0101110)?(110100)?(0+1(1+(1?0)*)1)?(11010)?(10100)?(0100)?(11(10)?)?(0101(0+1))?(10(0+101)1?)?(0(1+000?)1)?,164,5152971,77.854298
type2_exp26,0?1(0*+10)1*,14,620678,1.695694
type2_exp27,(11+00(0?1)?)?((0+1)1?0)?,24,576518,0.540063
type2_exp28,(0(0+10?))?(1+1?0(0?1)?0)(110)?,31,553692,0.486832
type2_exp29,(01)?((010+101)0)?(00?+(1?00)?1)(0+((10)?01)*)(1(10+0001))?,61,1194399,8.793732
type2_exp30,(((0+1)0)?1?11)?(0+(00)?1(0+1)1)((11+000)?1)?((00+11)10)?,56,998704,2.246022
type2_exp31,(00011)?(0011)?(1(000)?1)?0?((10+011)0?1)?(1+(01(0+1)?)?0)?,65,841913,2.316938
type2_exp32,(01110)?(000100)?(((0+1)0)*+(0?1)?1)(110010?)?(011(0+11))?(10(0+11)(0+1))?(0(0?1)?00)?,93,1149612,3.967218
type2_exp33,(0+10?1)*,9,3320,0.047227
type2_exp34,(0+1*)(0+1*)10*,14,438876,0.580931
type2_exp35,(1+((0+1)(0+111))*)((00+11)10?)?,28,581537,0.630599
type2_exp36,((0+(01)?1)(01)?)?(0(0+1)(0+1)1)?,27,657967,0.749714
type2_exp37,111+01?0+1?0(1+0(0+11)),27,540429,0.487544
type2_exp38,((000)?(0+11?))?(01(0+1)0)?,25,620908,0.639242
type2_exp39,(0+(0*+1(0+1))1)?((0+1)?10(11)?)?,28,605479,0.589639
type2_exp40,((0+(0+1)1(1+00))(010+101)?)*,27,603850,0.590246
type2_exp41,(100+011)?(1+(1?0)?(0+11)),26,631592,0.665829
type2_exp42,not_found,17,9225660,115.749775
type2_exp43,(0+10(0+1(0+1)))?(010)?(1000)?(0+(1+(01)?0)1)(1(0+101?))?,55,1133147,4.292719
type2_exp44,((1+(0+1)0)?01?)?((11+(0+1)10)1)?(0(11+0100))*((11)?0110)?,58,1038124,2.332413
type2_exp45,(0*+(0?1)*)10?,13,230544,1.111749
type2_exp46,not_found,17,9660068,74.004536
type2_exp47,((1+0(0+1)?00)0+(101*0)?(011110)?(110110)?)(001000)?(01111)?(01+(0+1)0)?(110?(0+1)1)?,99,3711129,31.227124
type2_exp48,(0+1(0+1)*)(01?)*,14,709534,2.058044
type2_exp49,(01+1(1+00))(0+(0+1)1),19,691442,0.786428
type2_exp50,(0+(0+11)10?)(1+00)+1?(10+(0+1)01),33,607119,0.61774
type2_exp51,((01+10?(0+1))0)?(1+0(1*+0(1+00)))?,31,604487,0.597919
type2_exp52,not_found,17,9580650,280.893121
type2_exp53,(1+(001)?0)(10+(1+00)1)+(1(00+10?1))?(0(0+11)1)?(110)?(0+(1+01?0)1),67,1449167,18.859505
type2_exp54,((0+1)(0+1011)((11)?001)?+((01+10)(000)?)?(1+(0+(0+1)1)?0)1)((1?01?0(01)?)?+(1+00)1(1+00)),86,5990333,426.39449
type2_exp55,0?(010+10?11)+(101)?(11+0(0+1)?),35,551154,0.563424
type2_exp56,((010+(0+1)(0+1))(01?+10?))?,24,586720,0.582266
type2_exp57,(1(0+1?011))?(0+10?(0+1)1)(1?(01+110))?(111+01?0)?,54,835437,1.483009
type2_exp58,(1?00)?(00+10?1?1+010*1?),31,1234213,23.825591
type2_exp59,1*+(1+00)(10)*,13,330952,0.734933
type2_exp60,(0(0+1(0+11)))?(1(00+(0+1)?1))?,26,583465,0.698711
type2_exp61,(001+1000)?(1+(0+11)(0+1))?(0+0?1(10)?1)(0(01+10))?,52,1079526,3.989458
type2_exp62,(1001)?((1+001?)11)?((000+101)0)?(1(11+000)0)?(0(00)?+(10?)?1)((01+10)1)?,78,1436677,4.375715
type2_exp63,not_found,17,9310569,108.503448
type2_exp64,0(0+1)?(00+11)+1((00)?(1+01*))?,29,709859,0.934283
type2_exp65,(1*+(1+(0+11)0)0)((1+0110)(0+1))?(10(01)?)?(01?(101*)?)?,53,921535,2.256173
type2_exp66,not_found,17,9461633,56.551834
type2_exp67,(1+1?0(101?)?)((00+11)1)?,25,608940,0.565712
type2_exp68,(001+10(0+1))?(0+0*1(110?)?),29,661556,0.678609
type2_exp69,(0+(01)?1)((0+0?1)(11)?)?,21,657684,0.673141
type2_exp70,not_found,17,9610595,217.271016
type2_exp71,((1+(0+1)0)(0+11))?((10)*+(0(11)?)?1)(100)?,36,642854,0.653639
type2_exp72,(0+(11(10)?)*)(0+(0+1)(01+10))?(0((00+11)1)?)?,40,529096,0.529323
type2_exp73,(100)?((11110)?0)?(1(10*10)?)?(1010*1)?(1+00(111)?)?,59,1194266,3.388755
type2_exp74,(0+1?(00+11))?(0+1101)(0+(0+10?)1)?,35,688423,0.79859
type2_exp75,((01)?1(1+00?))?((1+000?)1)?,26,626850,0.674427
type2_exp76,(01+(10*)*0)?,12,83116,0.662455
type2_exp77,not_found,17,9367350,93.62108
type2_exp78,not_found,17,9493736,117.529266
type2_exp79,not_found,17,9418222,190.68157
type2_exp80,(1(0+1)00)?(0(0+1)1*)?(11?)?(1*0+1(001)?)?(010010)?(001000)?(10100)?,78,1374390,7.710936
type2_exp81,(0101)?(1010)?((00+11)1(0+1))?(000+101)?,45,724883,0.808412
type2_exp82,(0((1+0(0+1))1?)?)?(0+1(0+0*1)),25,700280,0.78227
type2_exp83,(11+(01)?(00)?)(0+10?110?)((01+10)0)?((01+1(0+1))1)?,51,978059,2.206969
type2_exp84,(0111)?(1(10+00*1)0)?(111)?(11+(1+1?00)0)?((1+00)0001)?(0+10*111)(001)?(0(000+111))?(00(01+10?0))?(0?11+(0+1)00)?(110000)?(01000)?(00010)?(1(01+10))?,175,7714013,116.652145
type2_exp85,(100+1?011)?(0(00)?+10*1)(10((1+00)(0+1))?)?((11)?0(0+1)1)?(0000)?(01011)?(010+101)?(1000(01)?)?(1110)?(001)?(101111)?,135,5469703,76.758499
type2_exp86,(10(0+1(0+1))0)?(0+(0+1)?011)?(0010?00)?(0+1(1+1?01?))?(0(10+001))?,70,1138867,3.103642
type2_exp87,(0(00+111))?(1?(00+(0+1)1))?(1+00(0+1)0*)(11)?(10)?,49,1039560,2.372219
type2_exp88,(10(0+1)(0+1))?(1+0(0+1)0(0+1))?(1?(0+(0+11)01))?(0111?)?,53,740704,0.839763
type2_exp89,(010?+111?)(1+00)+11?0(10?)?,32,720687,0.865228
type2_exp90,not_found,17,9571311,155.604755
type2_exp91,(00(00)?10)?(1+(11)?00)?(1011*0)?((011)?(0+1))?(000+1001)?(1101)?(10011)?,84,1143409,3.249118
type2_exp92,(0?(0+1))?(00+1111)+(101?+01(0+1))(01)?,39,748579,0.89024
type2_exp93,(00+1(0+1(0+1)))?(1+0(1+0(1+0*))0)(11)?+(0+1(0+110?))(011)?(101)?(0+11(001)?)((11)?01)?,84,3152340,67.530608
type2_exp94,(1+0(0+(0+1)01)?)(011+1000)?((1+00?)0)?((11+010)(0+1))?((0+1)0?001)?,68,1100597,4.042569
type2_exp95,(0*1)*0?01*,13,336475,2.147143
type2_exp96,(((0+1)?0)?0(11)?)?(11001)?(100(1+00))?(0+(0+11)0?1),52,1081618,2.608749
type2_exp97,(0(0+1))?(1+00?(0+101))((00+11)0)?,32,658103,0.734856
type2_exp98,(11)?(0+(10?)?1)((00)?(0+11))?0?,29,672539,0.759789
type2_exp99,((1+0(10+(0*1)*))(11+01?0)?)?,26,782288,0.960309
type2_exp100,((0+1)0(00+11))?((00+1(0+1)1)0)?(01+1(1+00))?(011001)?(111111)?(110110)?((110)?(1+010))?(01110)?,108,1478300,6.907743
type2_exp101,not_found,17,9785678,218.15128
type2_exp102,not_found,17,9611257,131.845232
type2_exp103,(0+10001)?(0(1(110)?)?)?(01?0(0+1)0)?(((10?)?1)?(0+11))?,55,1072271,2.900634
type2_exp104,((10+0001)1)?(1+(10)?(01?)?0)(0000)?(011(0+1))?(111+0100)?((001)?1)?(000+1011)?,89,1142539,8.2712
